RunDate,RunTime,PremiseId,Year,RateClass,Strata,RecipeICap
2016-09-29,14:18,8205023005,2014,GS1,GS1,0.
2016-09-29,14:18,8205023005,2015,GS1,GS1,0.
2016-09-29,14:18,8243001003,2014,GS1,GS1,0.
2016-09-29,14:18,8243001003,2015,GS1,GS1,0.
2016-09-29,14:18,8306009001,2014,GS1,GS1,0.
2016-09-29,14:18,8306009001,2015,GS1,GS1,0.
2016-09-29,14:18,8653746008,2014,GS1,GS1,0.
2016-09-29,14:18,8653746008,2015,GS1,GS1,12.0539
2016-09-29,14:18,8824019005,2014,GS1,GS1,0.
2016-09-29,14:18,8824019005,2015,GS1,GS1,0.
2016-09-29,14:18,8861384007,2014,GS1,GS1,0.
2016-09-29,14:18,8861384007,2015,GS1,GS1,7.45896
2016-09-29,14:18,8893768000,2014,GS1,GS1,0.
2016-09-29,14:18,8893768000,2015,GS1,GS1,12.7599
2016-09-29,14:18,9479027005,2014,GS1,GS1,0.
2016-09-29,14:18,9479027005,2015,GS1,GS1,0.140965
2016-09-29,14:18,3860036007,2014,GS1,GS1,0.
2016-09-29,14:18,3860036007,2015,GS1,GS1,0.
2016-09-29,14:18,7425007000,2014,GS1,GS1,0.
2016-09-29,14:18,7425007000,2015,GS1,GS1,0.
2016-09-29,14:18,7480048009,2014,GS1,GS1,0.
2016-09-29,14:18,7480048009,2015,GS1,GS1,0.
2016-09-29,14:18,7531516003,2014,GS1,GS1,0.
2016-09-29,14:18,7531516003,2015,GS1,GS1,0.
2016-09-29,14:18,8223012000,2014,GS1,GS1,0.
2016-09-29,14:18,8223012000,2015,GS1,GS1,0.
2016-09-29,14:18,8399004005,2014,GS1,GS1,0.
2016-09-29,14:18,8399004005,2015,GS1,GS1,0.
2016-09-29,14:18,9786010007,2014,GS1,GS1,0.
2016-09-29,14:18,9786010007,2015,GS1,GS1,0.
2016-09-29,14:18,3368013006,2014,GS3,GS3,0.
2016-09-29,14:18,3368013006,2015,GS3,GS3,33.9787
2016-09-29,14:18,6648018004,2014,GS1,GS1,0.
2016-09-29,14:18,6648018004,2015,GS1,GS1,0.
2016-09-29,14:18,9426003008,2014,GS1,GS1,0.
2016-09-29,14:18,9426003008,2015,GS1,GS1,0.
2016-09-29,14:18,8439004009,2014,GS1,GS1,0.
2016-09-29,14:18,8439004009,2015,GS1,GS1,0.
2016-09-29,14:18,8165023001,2014,GS1,GS1,0.
2016-09-29,14:18,8165023001,2015,GS1,GS1,0.263297
2016-09-29,14:18,8145023005,2014,GS1,GS1,0.
2016-09-29,14:18,8145023005,2015,GS1,GS1,0.
2016-09-29,14:18,0390010009,2014,GS1,GS1,0.
2016-09-29,14:18,0390010009,2015,GS1,GS1,0.0645511
2016-09-29,14:18,7904005006,2014,GS1,GS1,0.
2016-09-29,14:18,7904005006,2015,GS1,GS1,0.
2016-09-29,14:18,0790010007,2014,GH2,GH2,0.
2016-09-29,14:18,0790010007,2015,GH2,GH2,0.192383
2016-09-29,14:18,7783009000,2014,GS1,GS1,0.
2016-09-29,14:18,7783009000,2015,GS1,GS1,0.
2016-09-29,14:18,6833808009,2014,GS1,GS1,0.
2016-09-29,14:18,6833808009,2015,GS1,GS1,9.53921
2016-09-29,14:18,7170010006,2014,GH2,GH2,0.
2016-09-29,14:18,7170010006,2015,GH2,GH2,0.194918
2016-09-29,14:18,7350010004,2014,GH2,GH2,0.
2016-09-29,14:18,7350010004,2015,GH2,GH2,0.128492
2016-09-29,14:18,6261019001,2014,GS1,GS1,0.
2016-09-29,14:18,6261019001,2015,GS1,GS1,0.051816
2016-09-29,14:18,7730010006,2014,GS1,GS1,0.
2016-09-29,14:18,7730010006,2015,GS1,GS1,0.
2016-09-29,14:18,3681003004,2014,GS1,GS1,0.
2016-09-29,14:18,3681003004,2015,GS1,GS1,0.
2016-09-29,14:18,2501026000,2014,GS1,GS1,0.
2016-09-29,14:18,2501026000,2015,GS1,GS1,0.
2016-09-29,14:18,0620180001,2014,GS1,GS1,0.
2016-09-29,14:18,0620180001,2015,GS1,GS1,0.
2016-09-29,14:18,0380171004,2014,GS1,GS1,0.
2016-09-29,14:18,0380171004,2015,GS1,GS1,0.
2016-09-29,14:18,9811612002,2014,GS1,GS1,0.
2016-09-29,14:18,9811612002,2015,GS1,GS1,0.
2016-09-29,14:18,9660179009,2014,GS1,GS1,0.
2016-09-29,14:18,9660179009,2015,GS1,GS1,0.
2016-09-29,14:18,9042007008,2014,GS1,GS1,0.
2016-09-29,14:18,9042007008,2015,GS1,GS1,0.
2016-09-29,14:18,8410021008,2014,GS1,GS1,0.
2016-09-29,14:18,8410021008,2015,GS1,GS1,0.
